username, match username, workshop
achituv, crisjf,0
crisjf, achituv,0
dhaval, hidalgo,1
hidalgo, dhaval,1
azaria, samuelsp,0
samuelsp, azaria,0
jbobrow, tempest,2
tempest, jbobrow,2
cvx, joscha,2
joscha, cvx,2
cherston, jon,3
jon, cherston,3
bdatta, sputniko,1
sputniko, bdatta,1
nfarve, pattie,3
pattie, nfarve,3
erhardt, tashih,0
tashih, erhardt,0
jgroff, colleenmacklin,1
colleenmacklin, jgroff,1
jhaas, isasobri,2
isasobri, jhaas,2
kzh, jaquesn,3
jaquesn, kzh,3
djain, akahn,1
akahn, djain,1
jakory, carolx,0
carolx, jakory,0
pip, ethanz,2
ethanz, pip,2
savannah, agnis,3
agnis, savannah,3
novysan, elplatt,0
elplatt, novysan,0
dramsay, slotnick,3
slotnick, dramsay,3
trich, ishii,1
ishii, trich,1
akanes, cwwang,4
cwwang, akanes,4
thariq, slavin,2
slavin, thariq,2
mniskala, jwojcik,0
jwojcik, mniskala,0
moia, lisa_k,1
lisa_k, moia,1
